ObjectId,platnostod,platnostdo,datum_exportu,GlobalID,SHAPE_Length,SHAPE_Area
1857,2018/11/01 00:00:00+00,2018/11/01 00:00:00+00,2022/03/31 00:00:00+00,{A64EA118-0603-46B6-8849-E97FFE992A7D},0.000230531945311232,3.08885008872612e-09
1858,2018/11/18 00:00:00+00,2018/11/18 00:00:00+00,2022/03/31 00:00:00+00,{D99B9AEB-89F0-42FE-BB65-DD18B2EFB13D},0.000898278817542758,2.09353141707588e-08
1859,2018/11/18 00:00:00+00,2018/11/18 00:00:00+00,2022/03/31 00:00:00+00,{69C14CAE-BFA7-42A8-9C99-A6E35D159D46},0.00181962714756578,1.76301083202089e-08
1860,2018/11/18 00:00:00+00,2018/11/18 00:00:00+00,2022/03/31 00:00:00+00,{4826492F-D7C0-453F-BB7C-21898968B715},0.00102356247102052,1.00957394881131e-08
1861,2020/06/01 00:00:00+00,2999/12/31 00:00:00+00,2022/03/31 00:00:00+00,{C6FAB473-888A-4F43-A7C4-2EA0B1C9800C},0.00251246351795416,5.37036682701848e-08
1862,2018/11/01 00:00:00+00,2019/09/12 00:00:00+00,2022/03/31 00:00:00+00,{EB3561AC-6CCD-42A0-A039-D374876D6266},0.000420148320165888,6.67772563986057e-09
1863,2018/11/01 00:00:00+00,2999/12/31 00:00:00+00,2022/03/31 00:00:00+00,{38D9969B-568B-4337-844B-E4D3B18704BC},0.000281900235055096,3.31921746613035e-09
1864,2020/08/03 00:00:00+00,2999/12/31 00:00:00+00,2022/03/31 00:00:00+00,{950D43B7-5240-4973-8D07-CCF966D3391C},0.000983162542384283,1.96933063673959e-08
1865,2020/08/03 00:00:00+00,2020/08/03 00:00:00+00,2022/03/31 00:00:00+00,{3C985441-1552-4F7A-A1CA-9FB00A67012A},0.000202268452589466,2.33094587143631e-09
1866,2020/08/03 00:00:00+00,2020/08/03 00:00:00+00,2022/03/31 00:00:00+00,{76B62EDF-E4AD-4C5E-A0A2-266C091EBC3C},0.000136388222670892,1.11081397554151e-09
1867,2020/08/03 00:00:00+00,2999/12/31 00:00:00+00,2022/03/31 00:00:00+00,{7B2B2AF7-1BAE-4C95-BE1F-9573F19CEC5A},0.000333217834706117,5.55790670721231e-09
1868,2020/08/03 00:00:00+00,2999/12/31 00:00:00+00,2022/03/31 00:00:00+00,{1A142284-2E43-48EB-A1B5-1CAB4D109DFE},0.000387840430057628,6.6981564528216e-09
1869,2020/08/03 00:00:00+00,2020/08/03 00:00:00+00,2022/03/31 00:00:00+00,{8AE4AD10-380A-4F6C-9601-51431C8FF117},0.000316180233214301,4.68881628845205e-09
1870,2020/08/03 00:00:00+00,2999/12/31 00:00:00+00,2022/03/31 00:00:00+00,{69166E84-046C-472C-A13D-B6798D837FF9},0.000425425669083509,5.34629586685404e-09
1871,2020/08/03 00:00:00+00,2020/08/03 00:00:00+00,2022/03/31 00:00:00+00,{AA391539-1A80-4E5D-99CB-A8010CDB71AC},0.00038198148664864,5.06256866473428e-09
1872,2020/08/03 00:00:00+00,2999/12/31 00:00:00+00,2022/03/31 00:00:00+00,{0EDBA977-157C-41A8-8061-01C6C6EAD4D7},0.0013584469696181,2.45234909576887e-08
1873,2020/08/03 00:00:00+00,2999/12/31 00:00:00+00,2022/03/31 00:00:00+00,{98697771-825F-4B83-85FE-8F515430006B},0.00227334316909578,2.33173542064217e-08
1874,2020/08/03 00:00:00+00,2999/12/31 00:00:00+00,2022/03/31 00:00:00+00,{4F206FF7-9654-4EEC-B9AA-D1D173129338},0.00239536291530924,7.22797024894764e-08
1875,2020/08/03 00:00:00+00,2020/08/03 00:00:00+00,2022/03/31 00:00:00+00,{E6A3A80F-2FE7-4B20-8E62-7B035113E77F},0.000187570828367767,1.69065224007822e-09
1876,2020/08/03 00:00:00+00,2999/12/31 00:00:00+00,2022/03/31 00:00:00+00,{5B3BD85F-504B-4CDE-AADF-A74CDA4AEAB3},0.000661035385360988,1.67968253687793e-08
1877,2020/08/03 00:00:00+00,2020/08/03 00:00:00+00,2022/03/31 00:00:00+00,{EC1705C8-92C2-443E-80F0-2043B31FEBA3},0.000180811940862218,1.54275999739367e-09
1878,2020/08/03 00:00:00+00,2999/12/31 00:00:00+00,2022/03/31 00:00:00+00,{7E604B54-1C56-40E5-9BC0-C32219911752},0.0042418528075208,3.93726449200779e-08
1879,2020/08/03 00:00:00+00,2999/12/31 00:00:00+00,2022/03/31 00:00:00+00,{9598FBA0-D2C2-411D-8691-9E5011FBDD97},0.00157042391952922,4.30531120317819e-08
1880,2020/08/03 00:00:00+00,2999/12/31 00:00:00+00,2022/03/31 00:00:00+00,{DF7FFC25-A58D-4898-B04C-0E8370F7E31B},0.00132245189563199,1.61210688092162e-08
1881,2020/08/03 00:00:00+00,2020/08/03 00:00:00+00,2022/03/31 00:00:00+00,{65984C3D-18DE-4C9E-9C4F-9BBBD0EA92BD},0.000189038804277466,1.7277443160164e-09
1882,2020/08/03 00:00:00+00,2999/12/31 00:00:00+00,2022/03/31 00:00:00+00,{06049CB7-475A-435E-B684-06491CED7CA0},0.00441029817355968,1.00871848627911e-07
1883,2020/08/03 00:00:00+00,2999/12/31 00:00:00+00,2022/03/31 00:00:00+00,{3FFBC8C2-8A4F-470E-9032-37B662399F7D},0.00148168502958988,3.23741281639655e-08
1884,2020/08/03 00:00:00+00,2020/08/03 00:00:00+00,2022/03/31 00:00:00+00,{ADDD53E9-3AA6-47FC-8F03-E7A313199FF6},0.00183089845866746,4.05428667180381e-08
1885,2020/08/03 00:00:00+00,2020/08/03 00:00:00+00,2022/03/31 00:00:00+00,{857F6090-5F07-42EA-B136-00C5A4FCB68D},0.000625251736050374,1.23426154302754e-08
1886,2020/08/03 00:00:00+00,2999/12/31 00:00:00+00,2022/03/31 00:00:00+00,{99761E35-2C08-4DBB-A21E-F70E47C574E7},0.000997676652349412,1.19648242223373e-08
