OID_,ObjectId,ogcfid,typ_opatre,rok_realiz,delka,datum_expo,GlobalID,SHAPE_Leng,point_x1,point_x2,point_y1,point_y2
498,499,20,Stezka pro chodce a cyklisty (nedělená) - C9,2006,59.630001068115234,04/11/2022 00:00:00,{B22BE809-2C4D-441A-B569-46B7DDAB8942},0.000614682506952,16.676944455000001,16.677342527000000,49.167032847000002,49.167501219999998
499,500,19,Stezka pro chodce a cyklisty (nedělená) - C9,2006,306.640014648437500,04/11/2022 00:00:00,{FEAC2CB7-D570-4E6C-BE22-8CEBBA3555FB},0.002961246102415,16.675106941999999,16.676451079000000,49.164199728000000,49.166787505999999
500,501,18,Stezka pro chodce a cyklisty (nedělená) - C9,2010,86.720001220703125,04/11/2022 00:00:00,{374F467B-5C8D-4D65-B0B7-1D4A8EAE6F56},0.000936405244416,16.661778311999999,16.662462447999999,49.140186829000001,49.140822331999999
501,502,16,Piktogramový koridor pro cyklisty - V20,2010,103.080001831054688,04/11/2022 00:00:00,{93863555-0CCF-4844-9AAB-B6A3940267B4},0.001148802985865,16.607164268999998,16.606266051999999,49.188837726000003,49.188122153999998
502,503,357,Vjezd cyklistům povolen,2015,176.550003051757812,04/11/2022 00:00:00,{AC270B80-0BA4-44EF-B8F1-27E70473FA13},0.001832119689856,16.608114992000001,16.608747335000000,49.195488541000003,49.194281230000001
503,504,15,"Vyhrazený pruh pro taxi, cyklo, bus",2010,359.040008544921875,04/11/2022 00:00:00,{960D75CA-619B-4360-9D3D-AA6E7B2F38CB},0.003908126623144,16.606220574000002,16.603305633000002,49.188080452000001,49.185478781999997
504,505,11,Stezka pro cyklisty - C8,2002,68.230003356933594,04/11/2022 00:00:00,{9C0A6104-7AA1-4159-AD93-1D42C16C4852},0.000894971158220,16.586215804999998,16.587078131999998,49.220365332000000,49.220604842999997
505,506,8,Stezka pro cyklisty - C8,1997,193.949996948242188,04/11/2022 00:00:00,{54747D7B-EF39-4D32-85FC-F1F9E7636682},0.002231930164224,16.573696182999999,16.571856433000001,49.218260706999999,49.217012042000000
506,507,7,Stezka pro cyklisty - C8,1997,259.140014648437500,04/11/2022 00:00:00,{EEE521E6-D3B6-46DA-92AF-C810F922B1D1},0.002673126994620,16.571693100000001,16.569960976000001,49.216873962999998,49.214839197000003
507,508,355,Vjezd cyklistům povolen,2015,76.169998168945312,04/11/2022 00:00:00,{70D5AF91-08E5-45BF-BBF8-A1DCA16E6A40},0.000968455392162,16.607590244000001,16.608496723999998,49.193334587999999,49.193675468999999
508,509,378,Vjezd cyklistům zakázán,2015,207.029998779296875,04/11/2022 00:00:00,{6AE64364-347D-49F3-BBEC-63C0B127250C},0.002219477379072,16.605627201000001,16.607213702999999,49.196789283000001,49.195281213999998
509,510,374,Vjezd cyklistům povolen,2015,177.830001831054688,04/11/2022 00:00:00,{884FAD4D-51C1-446F-A46E-08B06B8FBB45},0.002226817668884,16.609932468000000,16.611981175000000,49.193023199999999,49.193872282999997
510,511,373,Vjezd cyklistům povolen,2015,292.720001220703125,04/11/2022 00:00:00,{B6875812-2BE3-411F-9664-D9054A98457F},0.003040695360428,16.610566621000000,16.612504597000001,49.194484562000000,49.192226091000002
511,512,372,Vjezd cyklistům povolen,2015,153.550003051757812,04/11/2022 00:00:00,{6C438A7D-8DA7-4B12-B067-AD51E8D2DDE9},0.001989402787150,16.610618030000001,16.612504597000001,49.191677304000002,49.192226091000002
512,513,371,Vjezd cyklistům povolen,2015,78.580001831054688,04/11/2022 00:00:00,{0DA1ABAF-169B-4F34-AB88-833ACB6466E4},0.001069295283035,16.609555411999999,16.610618030000001,49.191642909000002,49.191677304000002
513,514,370,Vjezd cyklistům povolen,2015,108.819999694824219,04/11/2022 00:00:00,{B234E973-7F24-4488-BDB5-5238BF4B39A3},0.001169710994235,16.609180052999999,16.609175323999999,49.192168293999998,49.191431371999997
514,515,369,Vjezd cyklistům povolen,2015,65.319999694824219,04/11/2022 00:00:00,{8ACA87E6-7E90-4100-9141-A8EA118298FF},0.000873297792305,16.610378436000001,16.609522807000001,49.192428067000002,49.192253287000000
515,516,368,Vjezd cyklistům povolen,2015,61.200000762939453,04/11/2022 00:00:00,{DC4C5709-A430-4736-8355-ADEAFABE9453},0.000786063588605,16.609968086999999,16.609224936000000,49.192984875999997,49.192728707000001
516,517,367,Vjezd cyklistům povolen,2015,401.850006103515625,04/11/2022 00:00:00,{0E5E1BD7-A556-4189-B1CA-ABD75EB37D6D},0.004164862145534,16.608747335000000,16.611349088000001,49.194281230000001,49.191177347000000
517,518,366,Vjezd cyklistům povolen,2015,25.250000000000000,04/11/2022 00:00:00,{2368AC10-6EC3-4277-8A17-588CB8AF07FD},0.000228012439185,16.612725619999999,16.612753153000000,49.195323574000000,49.195097230000002
518,519,365,Vjezd cyklistům povolen,2015,371.480010986328125,04/11/2022 00:00:00,{3CD2185F-9713-4781-867E-4D6864B00FA9},0.004763709444703,16.609108322000001,16.613572968000000,49.193885862000002,49.195350787999999
519,520,364,Vjezd cyklistům povolen,2015,50.720001220703125,04/11/2022 00:00:00,{00212100-9D71-4377-A503-6B132FF7BED5},0.000649257630494,16.609108322000001,16.608496723999998,49.193885862000002,49.193675468999999
520,521,363,Vjezd cyklistům povolen,2015,107.769996643066406,04/11/2022 00:00:00,{14FDF7E1-7AAA-4983-A8FB-F7EFD354346D},0.001123349171335,16.609836399999999,16.610566621000000,49.195313812999999,49.194484562000000
521,522,362,Vjezd cyklistům povolen,2015,349.750000000000000,04/11/2022 00:00:00,{A469C058-134C-4E57-9AE4-4DE83DF355C0},0.004771704044394,16.608825773000000,16.613572968000000,49.195390635000003,49.195350787999999
522,523,360,Vjezd cyklistům povolen,2015,97.019996643066406,04/11/2022 00:00:00,{4DEFFB44-6A55-4E21-9394-7F9A36F46290},0.001189577793986,16.607035691000000,16.608104955000002,49.194217029000001,49.194730014000001
523,524,359,Vjezd cyklistům povolen,2015,157.740005493164062,04/11/2022 00:00:00,{85E063B9-D822-4281-8741-B78889D02248},0.001831578972942,16.607213663000000,16.608747335000000,49.195281211000001,49.194281230000001
524,525,358,Vjezd cyklistům povolen,2015,72.699996948242188,04/11/2022 00:00:00,{3175253C-B9A2-4388-BA91-A571000751DB},0.000944866354469,16.608114992000001,16.607213663000000,49.195488541000003,49.195281211000001
525,526,343,Vjezd cyklistům povolen,2015,67.830001831054688,04/11/2022 00:00:00,{BA8D33C1-4B51-422B-9EFA-8EC29C723E2F},0.000880972303296,16.607362868999999,16.606521544000000,49.197327540000003,49.197069481000000
526,527,351,Vjezd cyklistům povolen,2015,24.370000839233398,04/11/2022 00:00:00,{44128033-006A-46ED-8E47-27827A877F91},0.000257135321793,16.607768380000000,16.607590244000001,49.193149153000000,49.193334587999999
527,528,350,Vjezd cyklistům povolen,2015,67.129997253417969,04/11/2022 00:00:00,{9AEFA406-980B-440C-8D13-2705AE4439D2},0.000615150964390,16.607902598999999,16.607768380000000,49.192554395000002,49.193149153000000
528,529,349,Vjezd cyklistům povolen,2015,19.139999389648438,04/11/2022 00:00:00,{02ADF00D-54D1-45A9-B6C0-0D91D404F915},0.000193079434740,16.605372508999999,16.605256753999999,49.197387450999997,49.197541983999997
529,530,348,Vjezd cyklistům povolen,2015,198.149993896484375,04/11/2022 00:00:00,{76B7FD1E-C22C-41D6-AC74-BF16EBF14361},0.001891911445893,16.606985778999999,16.607796467000000,49.197932430999998,49.196241207999996
530,531,346,Vjezd cyklistům povolen,2015,95.790000915527344,04/11/2022 00:00:00,{343833D5-96F8-492F-9375-A01500593247},0.001277603052817,16.607796467000000,16.609045577000000,49.196241207999996,49.196493900999997
531,532,345,Vjezd cyklistům povolen,2015,109.809997558593750,04/11/2022 00:00:00,{2AA9E6CC-2994-4EB7-9E5F-9509414A65E9},0.001463220279743,16.609057453999998,16.607627899000001,49.196963660999998,49.196653925000000
532,533,344,Vjezd cyklistům povolen,2015,184.270004272460938,04/11/2022 00:00:00,{264DA8C6-7CF1-42F9-97AD-C0B61387F4CA},0.002188013122549,16.607362868999999,16.609057453999998,49.197327540000003,49.196963660999998
533,534,338,Stezka pro chodce a cyklisty (nedělená) - C9,2007,51.650001525878906,04/11/2022 00:00:00,{CFC977CF-F4BF-4353-868C-28C5C1C41624},0.000466457969074,16.605509090000002,16.605565970000001,49.182918516999997,49.183381494000002
534,535,24,Jízda cyklistů v protisměru - E12,2016,113.839996337890625,04/11/2022 00:00:00,{0BFA5108-F067-4D0E-8338-E017F7DC4F4A},0.001511134336674,16.640444110000001,16.638972665000001,49.205951734999999,49.206295793999999
535,536,381,Vjezd cyklistům zakázán,2015,55.889999389648438,04/11/2022 00:00:00,{86019FBA-A6E7-4261-85F2-DF9A53A5FE75},0.000707886878476,16.606410867000001,16.607070849999999,49.195131519000000,49.195387500000002
536,537,10,Jízda cyklistů v protisměru - E12,2002,87.440002441406250,04/11/2022 00:00:00,{E3A9AEB1-A4FA-49EE-82EB-A0E7AB2EAE54},0.001146983549881,16.586086230999999,16.587191378000000,49.220329341000003,49.220636296000002
537,538,335,Jízda cyklistů v protisměru - E12,2015,81.080001831054688,04/11/2022 00:00:00,{AC56F0BE-0A66-4A97-A71B-79E84BF4E6FE},0.000820202593381,16.607281561000001,16.607035691000000,49.193585610000000,49.194217029000001
538,539,61,Vyhrazený jízdní pruh pro cyklisty - V14,2010,1259.650024414062500,04/11/2022 00:00:00,{B229B54A-213D-4C28-BA71-97CA2CFE5506},0.015485913325085,16.562206481000000,16.548711617999999,49.178197154000003,49.180045976999999
539,540,58,Piktogramový koridor pro cyklisty - V20,2010,56.180000305175781,04/11/2022 00:00:00,{35CA60E8-5455-487A-9BDF-CF3F5ACA55EA},0.000767089804742,16.564306930000001,16.563542553000001,49.178197490000002,49.178260215000002
540,541,57,Piktogramový koridor pro cyklisty - V20,2010,40.099998474121094,04/11/2022 00:00:00,{EBB84B0B-17CC-4EF4-B09E-B7A71D45F5FF},0.000537022281903,16.564459329999998,16.564985510000000,49.178180548999997,49.178112743000000
541,542,1,Stezka pro chodce a cyklisty (dělená) - C10,2008,92.660003662109375,04/11/2022 00:00:00,{A468D536-A286-45DC-B5A8-49A7B7AA95B7},0.001030796268526,16.576982818000001,16.577781943000002,49.231129670000001,49.230486448999997
542,543,86,Piktogramový koridor pro cyklisty - V20,2014,118.010002136230469,04/11/2022 00:00:00,{87E51772-DC8F-493E-87A7-5EFE5E211090},0.001069253631792,16.594866888999999,16.595039727000000,49.182806616000001,49.183861796000002
543,544,85,Piktogramový koridor pro cyklisty - V20,2014,135.259994506835938,04/11/2022 00:00:00,{FFA1B2EF-1EB5-44B3-8242-109100490EA9},0.001232994527278,16.595027704000000,16.594766911000001,49.180428970000001,49.181632536999999
544,545,84,Vyhrazený jízdní pruh pro cyklisty - V14,2014,47.549999237060547,04/11/2022 00:00:00,{28BD94B3-8243-4FD5-815A-2E84D4F68A8A},0.000435112563393,16.595141772000002,16.595034977000001,49.179978441000003,49.180400243999998
545,546,17,Stezka pro chodce a cyklisty (nedělená) - C9,2010,329.899993896484375,04/11/2022 00:00:00,{91C0F093-0672-4F57-A62E-93CB8010849A},0.004177279865306,16.657401986000000,16.661289243999999,49.138111598999998,49.139513813999997
546,547,341,Vjezd cyklistům povolen,2015,244.949996948242188,04/11/2022 00:00:00,{C31DBCC9-B1EB-4342-9DD2-B3C9AA2F5065},0.003266077658566,16.603799305999999,16.606985778999999,49.197325884000001,49.197932430999998
547,548,571,Stezka pro chodce a cyklisty (nedělená) - C9,2007,227.300003051757812,04/11/2022 00:00:00,{4FA05E79-1458-4224-8254-A95056EB36EE},0.002997273560635,16.519414968000000,16.522281046000000,49.220203079000001,49.220077701000001
548,549,572,Stezka pro chodce a cyklisty (nedělená) - C9,2007,225.399993896484375,04/11/2022 00:00:00,{14C1BF97-DE77-4576-B169-AE20A55E60E4},0.002943270303984,16.518939057000001,16.516117566999998,49.220257584000002,49.221006201999998
549,550,573,Zákaz vjezdu všech motorových vozidel - B11,2001,660.119995117187500,04/11/2022 00:00:00,{F418C1DF-47B7-4519-9CA4-E8EF565AA4AA},0.006033989304914,16.633238276000000,16.633677122999998,49.123752484999997,49.117892390000002
550,551,579,Jízda cyklistů v protisměru (piktogram),2018,12.760000228881836,04/11/2022 00:00:00,{F63BB141-4DBD-4CA1-AC10-B42536BC4057},0.000171730501356,16.611729753999999,16.611560644000001,49.196141124999997,49.196111238999997
551,552,26,Vyhrazený jízdní pruh pro cyklisty - V14,2016,233.100006103515625,04/11/2022 00:00:00,{880FA055-EB7B-476A-B57D-CA9DCABE7996},0.002787977723761,16.671792587999999,16.669358487000000,49.180743986000003,49.182103331999997
552,553,575,Vyhrazený jízdní pruh pro cyklisty - V14,2019,507.890014648437500,04/11/2022 00:00:00,{0592EB25-CAB6-4F44-9738-D5F0344C49D8},0.005043254104592,16.493161952000001,16.493855273000001,49.210685564000002,49.214823998000000
553,554,93,Stezka pro chodce a cyklisty (nedělená) - C9,1998,2409.000000000000000,04/11/2022 00:00:00,{588F5BBA-D75C-4403-9B3B-04D623660C54},0.027364909252997,16.567041916000001,16.584860248999998,49.193421935000003,49.183194907000001
